step,loss,l_attack,l_perc,l_ssim,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf
10,0.10989709943532944,0.10989709943532944,0.0,0.0,0.0,9.999911173852616e-05,,,
20,0.30610525608062744,0.30610525608062744,0.0,0.0,0.0,9.999644698917173e-05,,,
30,0.8572272658348083,0.8572272658348083,0.0,0.0,0.0,9.99920058571364e-05,,,
40,0.7632341384887695,0.7632341384887695,0.0,0.0,0.0,9.998578851774849e-05,,,
50,0.0844072699546814,0.0844072699546814,0.0,0.0,0.0,9.997779521645789e-05,,,
60,0.13919426500797272,0.13919426500797272,0.0,0.0,0.0,9.996802626882649e-05,,,
70,0.5944252610206604,0.5944252610206604,0.0,0.0,0.0,9.995648206051556e-05,,,
80,0.6100348234176636,0.6100348234176636,0.0,0.0,0.0,9.99431630472707e-05,,,
90,0.5386296510696411,0.5386296510696411,0.0,0.0,0.0,9.992806975490381e-05,,,
100,0.2192394733428955,0.2192394733428955,0.0,0.0,0.0,9.991120277927216e-05,,,
110,0.5547720193862915,0.5547720193862915,0.0,0.0,0.0,9.989256278625508e-05,,,
120,0.36592191457748413,0.36592191457748413,0.0,0.0,0.0,9.987215051172756e-05,,,
130,0.13457609713077545,0.13457609713077545,0.0,0.0,0.0,9.984996676153129e-05,,,
140,0.29626503586769104,0.29626503586769104,0.0,0.0,0.0,9.982601241144271e-05,,,
150,0.17095471918582916,0.17095471918582916,0.0,0.0,0.0,9.980028840713856e-05,,,
160,0.46629801392555237,0.46629801392555237,0.0,0.0,0.0,9.977279576415846e-05,,,
170,0.6449012160301208,0.6449012160301208,0.0,0.0,0.0,9.974353556786486e-05,,,
180,0.21304918825626373,0.21304918825626373,0.0,0.0,0.0,9.971250897340029e-05,,,
190,0.030849039554595947,0.030849039554595947,0.0,0.0,0.0,9.967971720564155e-05,,,
200,0.6854287385940552,0.6727917790412903,0.012636933475732803,0.0,0.0,9.964516155915146e-05,,,
210,0.23878757655620575,0.23878757655620575,0.0,0.0,0.0,9.960884339812774e-05,,,
220,0.5954266786575317,0.5954266786575317,0.0,0.0,0.0,9.957076415634927e-05,,,
230,0.6599941253662109,0.6599941253662109,0.0,0.0,0.0,9.953092533711927e-05,,,
240,0.265597403049469,0.265597403049469,0.0,0.0,0.0,9.948932851320612e-05,,,
250,0.0459044873714447,0.0459044873714447,0.0,0.0,0.0,9.94459753267812e-05,,,
260,0.49972715973854065,0.49972715973854065,0.0,0.0,0.0,9.940086748935406e-05,,,
270,0.0622643306851387,0.0622643306851387,0.0,0.0,0.0,9.93540067817049e-05,,,
280,0.11334165930747986,0.11334165930747986,0.0,0.0,0.0,9.930539505381425e-05,,,
290,0.7329634428024292,0.7329634428024292,0.0,0.0,0.0,9.925503422478983e-05,,,
300,0.46223413944244385,0.45988720655441284,0.0,0.004693882539868355,0.0,9.920292628279099e-05,,,
310,0.726320207118988,0.726320207118988,0.0,0.0,0.0,9.914907328495002e-05,,,
320,0.24992121756076813,0.24992121756076813,0.0,0.0,0.0,9.909347735729111e-05,,,
330,0.12143073230981827,0.12143073230981827,0.0,0.0,0.0,9.903614069464625e-05,,,
340,0.7163593769073486,0.7163593769073486,0.0,0.0,0.0,9.897706556056872e-05,,,
350,0.2739466726779938,0.27364084124565125,0.0003058258444070816,0.0,0.0,9.891625428724366e-05,,,
360,0.28880709409713745,0.28880709409713745,0.0,0.0,0.0,9.885370927539601e-05,,,
370,0.2898532748222351,0.2898532748222351,0.0,0.0,0.0,9.878943299419571e-05,,,
380,0.04272163286805153,0.04272163286805153,0.0,0.0,0.0,9.872342798116034e-05,,,
390,0.4493328034877777,0.4493328034877777,0.0,0.0,0.0,9.865569684205477e-05,,,
400,0.3558852970600128,0.3558852970600128,0.0,0.0,0.0,9.858624225078842e-05,,,
410,0.43764567375183105,0.43764567375183105,0.0,0.0,0.0,9.851506694930955e-05,,,
420,0.06004730239510536,0.06004730239510536,0.0,0.0,0.0,9.844217374749732e-05,,,
430,0.354780375957489,0.354780375957489,0.0,0.0,0.0,9.836756552305046e-05,,,
440,0.30866360664367676,0.30866360664367676,0.0,0.0,0.0,9.829124522137383e-05,,,
450,0.24851305782794952,0.24851305782794952,0.0,0.0,0.0,9.821321585546239e-05,,,
460,0.18050096929073334,0.18050096929073334,0.0,0.0,0.0,9.813348050578187e-05,,,
470,0.28697365522384644,0.28697365522384644,0.0,0.0,0.0,9.805204232014732e-05,,,
480,0.05236377567052841,0.05236377567052841,0.0,0.0,0.0,9.796890451359888e-05,,,
490,0.04212381690740585,0.04212381690740585,0.0,0.0,0.0,9.78840703682748e-05,,,
500,0.10033340752124786,0.09966383874416351,0.0,0.0013391431421041489,0.0,9.779754323328188e-05,,,
510,0.5329292416572571,0.5329292416572571,0.0,0.0,0.0,9.770932652456323e-05,,,
520,0.08400185406208038,0.08400185406208038,0.0,0.0,0.0,9.761942372476342e-05,,,
530,0.6179309487342834,0.6179309487342834,0.0,0.0,0.0,9.752783838309116e-05,,,
540,0.10623469203710556,0.10623469203710556,0.0,0.0,0.0,9.743457411517885e-05,,,
550,0.33962076902389526,0.33962076902389526,0.0,0.0,0.0,9.73396346029401e-05,,,
560,0.6800512075424194,0.6800512075424194,0.0,0.0,0.0,9.724302359442428e-05,,,
570,0.66468346118927,0.66468346118927,0.0,0.0,0.0,9.714474490366862e-05,,,
580,0.16586342453956604,0.16586342453956604,0.0,0.0,0.0,9.704480241054749e-05,,,
590,0.34715479612350464,0.34715479612350464,0.0,0.0,0.0,9.694320006061941e-05,,,
600,0.09269876778125763,0.09269876778125763,0.0,0.0,0.0,9.683994186497123e-05,,,
610,0.24245601892471313,0.24245601892471313,0.0,0.0,0.0,9.673503190005969e-05,,,
620,0.2569619119167328,0.2569619119167328,0.0,0.0,0.0,9.662847430755053e-05,,,
630,0.059001483023166656,0.059001483023166656,0.0,0.0,0.0,9.652027329415508e-05,,,
