step,loss,l_attack,l_perc,l_ssim,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf,vid_vid_mean_jf_clean,vid_vid_mean_jf_adv,vid_vid_delta_jf
10,0.019519487395882607,0.019519487395882607,0.0,0.0,0.0,4.999955586926308e-05,,,,,,
20,0.22760769724845886,0.2238806188106537,0.0,0.007454168051481247,0.0,4.9998223494585866e-05,,,,,,
30,0.5713215470314026,0.5710705518722534,0.0,0.0005019931122660637,0.0,4.99960029285682e-05,,,,,,
40,0.5919380784034729,0.5919380784034729,0.0,0.0,0.0,4.9992894258874245e-05,,,,,,
50,0.024602720513939857,0.024602720513939857,0.0,0.0,0.0,4.9988897608228945e-05,,,,,,
60,0.02643316052854061,0.02643316052854061,0.0,0.0,0.0,4.998401313441324e-05,,,,,,
70,0.06708686798810959,0.0653703585267067,0.0,0.0034330151975154877,0.0,4.997824103025778e-05,,,,,,
80,0.40809667110443115,0.40809667110443115,0.0,0.0,0.0,4.997158152363535e-05,,,,,,
90,0.4102749824523926,0.4102749824523926,0.0,0.0,0.0,4.9964034877451904e-05,,,,,,
100,0.02108401246368885,0.02108401246368885,0.0,0.0,0.0,4.995560138963608e-05,,,,,,
110,0.4435862898826599,0.4435862898826599,0.0,0.0,0.0,4.994628139312754e-05,,,,,,
120,0.2418707311153412,0.2418707311153412,0.0,0.0,0.0,4.993607525586378e-05,,,,,,
130,0.1146588921546936,0.1146588921546936,0.0,0.0,0.0,4.9924983380765644e-05,,,,,,
140,0.24205182492733002,0.2413308173418045,0.0,0.001442011445760727,0.0,4.9913006205721356e-05,,,,,,
150,0.1343487799167633,0.1318993717432022,0.0,0.004898827522993088,0.0,4.990014420356928e-05,,,,,,
160,0.3840080797672272,0.3793050944805145,0.0,0.009405981749296188,0.0,4.988639788207923e-05,,,,,,
170,0.47006872296333313,0.469799280166626,0.0,0.000538908876478672,0.0,4.987176778393243e-05,,,,,,
180,0.03396642953157425,0.03396642953157425,0.0,0.0,0.0,4.9856254486700144e-05,,,,,,
190,0.019899480044841766,0.018531614914536476,0.0,0.0027357302606105804,0.0,4.9839858602820774e-05,,,,,,
200,0.39578530192375183,0.39039525389671326,0.0,0.010780077427625656,0.0,4.982258077957573e-05,,,,,,
210,0.014601610600948334,0.014239417389035225,0.0,0.0007243864238262177,0.0,4.980442169906387e-05,,,,,,
220,0.45282551646232605,0.45272165536880493,0.0,0.00020770076662302017,0.0,4.978538207817463e-05,,,,,,
230,0.5455437302589417,0.5448296666145325,0.0,0.0014280909672379494,0.0,4.9765462668559635e-05,,,,,,
240,0.22238855063915253,0.2222667634487152,0.0,0.00024357065558433533,0.0,4.974466425660306e-05,,,,,,
250,0.03378356993198395,0.03292887285351753,0.0,0.0017093978822231293,0.0,4.97229876633906e-05,,,,,,
260,0.04363110661506653,0.043553419411182404,0.0,0.00015537720173597336,0.0,4.970043374467703e-05,,,,,,
270,0.044784851372241974,0.044355738908052444,0.0,0.0008582286536693573,0.0,4.967700339085245e-05,,,,,,
280,0.08009561151266098,0.08009561151266098,0.0,0.0,0.0,4.965269752690712e-05,,,,,,
290,0.5936696529388428,0.5936696529388428,0.0,0.0,0.0,4.9627517112394915e-05,,,,,,
300,0.3054472804069519,0.29699018597602844,0.0,0.01691417023539543,0.0,4.9601463141395496e-05,,,,,,
310,0.5894109010696411,0.5894109010696411,0.0,0.0,0.0,4.957453664247501e-05,,,,,,
320,0.24381513893604279,0.24381513893604279,0.0,0.0,0.0,4.954673867864556e-05,,,,,,
